market,model,seed,IC,ICIR,RankIC,RankICIR,AR,STD,MDD,Sharpe,Sortino,Calmar,num_test_days,pred_path_or_ckpt_path
csi300,MATCC,0,0.0364203201941095,0.2355449668093311,0.0470569712035529,0.2963768522378335,0.1438759461556745,0.1786030889910609,-0.244033560815951,0.7526322705948612,1.167083674552167,0.5895744244136365,727,label_pred/csi300/2009_2025/csi300_pred_0.pkl
csi300,MATCC,1,0.0307052899711825,0.1834600104846206,0.0441985955352236,0.2635092985018271,0.1191422119926224,0.1802685516891842,-0.3325295721154615,0.6244156768623094,0.9583270198499227,0.3582905761874725,727,label_pred/csi300/2009_2025/csi300_pred_1.pkl
csi300,MATCC,2,0.0229778648519918,0.1247225331044886,0.039259551643687,0.2187784348603463,0.0535606289377009,0.1660908211912739,-0.348674836473287,0.3141383867211885,0.4651681331145681,0.1536119711977102,727,label_pred/csi300/2009_2025/csi300_pred_2.pkl
csi300,MATCC,3,0.034545773303229,0.2046588026276623,0.0481767708545231,0.2830249603204832,0.1162721341395528,0.1716600176881879,-0.2282304951561266,0.6407705388227105,0.9819258456223644,0.5094504748807301,727,label_pred/csi300/2009_2025/csi300_pred_3.pkl
csi300,MATCC,4,0.0406547913249792,0.2485324460818283,0.0481926213983767,0.2851488069216267,0.1969709762882675,0.2046924207417705,-0.2638316927502381,0.8783626603577918,1.4331435233534682,0.7465781469807508,727,label_pred/csi300/2009_2025/csi300_pred_4.pkl
sp500,MATCC,0,-0.0047442625720494,-0.0412816612514708,-0.0011477971931146,-0.0092897403331813,0.0513747505950019,0.1680110677448603,-0.257954659897986,0.2981862728150046,0.4138436124323205,0.1991619403786667,752,label_pred/sp500/2009_2025/sp500_pred_0.pkl
sp500,MATCC,1,0.006472528907921,0.0506669962498628,0.0012676798964046,0.0099274801759804,0.1550417884789838,0.2216409425810283,-0.2294103963028019,0.6503154252190975,0.933641777988396,0.6758272117465072,752,label_pred/sp500/2009_2025/sp500_pred_1.pkl
sp500,MATCC,2,-0.0047128961497856,-0.038388115868176,-0.0036139973824391,-0.0297025054765573,0.0885043950081823,0.20984472011223,-0.2808257373732191,0.4041304413710708,0.5931375531452645,0.3151577054013375,752,label_pred/sp500/2009_2025/sp500_pred_2.pkl
sp500,MATCC,3,0.0015680327062802,0.014035080573441,0.0025757920012738,0.022558885390299,0.1446198393462686,0.2106532607377983,-0.2674737520197218,0.6412080371542102,0.9393388345734256,0.5406879675266429,752,label_pred/sp500/2009_2025/sp500_pred_3.pkl
sp500,MATCC,4,0.0042179926065367,0.033438130329198,0.0028529430167451,0.0219878345292774,0.1219026133379989,0.2130053265924067,-0.2050526238527856,0.5400146925529126,0.7802457700265205,0.5944942866252567,752,label_pred/sp500/2009_2025/sp500_pred_4.pkl
